Reference Number,Grid Ref: Easting,Grid Ref: Northing,Number of Vehicles,1st Road Class,1st Road Class & No,Road Surface,Lighting Conditions,Weather Conditions,Local Authority,Type of Vehicle,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Full Time
5241529,429003,433568,2,3,A58,1,4,1,E08000035,9,1,3,1,41,2018-02-04 18:50:00
5241529,429003,433568,2,3,A58,1,4,1,E08000035,9,2,3,2,38,2018-02-04 18:50:00
5241529,429003,433568,2,3,A58,1,4,1,E08000035,9,1,3,2,35,2018-02-04 18:50:00
5241545,429359,436837,1,6,U,1,4,1,E08000035,9,2,3,2,10,2018-02-04 19:00:00
5241812,429139,435246,2,6,U,1,4,1,E08000035,3,1,3,1,57,2018-02-04 21:20:00
5250960,429061,434626,2,6,U,1,1,1,E08000035,9,1,3,1,20,2018-02-05 13:15:00
5251184,428055,433750,2,6,U,1,1,1,E08000035,9,1,3,1,68,2018-02-05 15:12:00
5251712,440564,431683,2,6,U,1,4,1,E08000035,9,1,3,1,30,2018-02-05 19:00:00
5251712,440564,431683,2,6,U,1,4,1,E08000035,9,1,3,1,29,2018-02-05 19:00:00
5251726,430246,433406,1,6,U,1,4,1,E08000035,11,3,3,2,27,2018-02-05 18:06:00
5252158,429795,433790,1,6,U,1,4,1,E08000035,9,3,3,1,22,2018-02-05 23:15:00
5261209,431517,426444,2,1,M62,1,1,1,E08000035,9,1,3,2,45,2018-02-06 16:20:00
5261603,430604,434156,1,6,U,2,4,1,E08000035,11,3,2,1,27,2018-02-06 19:30:00
5270223,428743,433249,1,3,A58,1,7,1,E08000035,9,1,3,1,32,2018-02-07 07:25:00
5270434,431007,430557,2,1,M621,1,1,1,E08000035,19,1,3,1,54,2018-02-07 09:47:00
5270548,427803,431236,3,1,M621,1,1,1,E08000035,21,2,3,1,42,2018-02-07 10:48:00
5270548,427803,431236,3,1,M621,1,1,1,E08000035,21,2,3,1,61,2018-02-07 10:48:00
5270548,427803,431236,3,1,M621,1,1,1,E08000035,21,1,3,1,46,2018-02-07 10:48:00
5271687,429190,431919,2,6,U,1,4,1,E08000035,8,1,3,1,52,2018-02-07 19:55:00
5271687,429190,431919,2,6,U,1,4,1,E08000035,9,1,3,1,40,2018-02-07 19:55:00
5271913,425453,435035,1,6,U,1,4,1,E08000035,8,2,3,2,41,2018-02-07 17:30:00
5271995,441757,427852,1,6,U,4,4,1,E08000035,9,1,3,1,27,2018-02-07 23:05:00
5281420,427899,433646,1,6,U,1,7,1,E08000035,9,3,3,2,21,2018-02-08 18:05:00
5281685,423695,428036,2,1,M62,2,4,1,E08000035,9,1,3,1,22,2018-02-08 20:30:00
5290494,431182,438729,2,6,U,1,1,1,E08000035,9,1,3,1,64,2018-02-03 13:30:00
5291212,429124,433550,1,6,U,1,1,1,E08000035,11,2,3,2,55,2018-02-09 14:15:00
52A1309,427978,430277,2,3,A6110,2,4,1,E08000035,2,1,3,2,53,2018-02-10 16:51:00
